Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas3461           Pavarde3461                      4         7         1         4         3         6         2         1
Vardas3462           Pavarde3462                      3         1         9         2         2         3         6         6
Vardas3463           Pavarde3463                      6         3         3        10         8         2        10         2
Vardas3464           Pavarde3464                      6         7         8         8        10         5         4        10
Vardas3465           Pavarde3465                      5         5         9         2        10         4         7         4
Vardas3466           Pavarde3466                      3         1         2         5         9         8         3         9
Vardas3467           Pavarde3467                      6         8         8         4         7         5         7         1
Vardas3468           Pavarde3468                      5         4         1         5         2        10         8         9
Vardas3469           Pavarde3469                      8         2         8        10         1         6         2         3
Vardas3470           Pavarde3470                      4         1         1         8         4         3         2         6
Vardas3471           Pavarde3471                      3         1         3         7         1         7         4         7
Vardas3472           Pavarde3472                      6         2         6         7         5         1         4         5
Vardas3473           Pavarde3473                      6         7        10         9         6         9         9         9
Vardas3474           Pavarde3474                      7         5         7         7         8         8         1         2
Vardas3475           Pavarde3475                      2         5         2         8         9         9         3         1
Vardas3476           Pavarde3476                      1         4        10         5         7        10         8         4
Vardas3477           Pavarde3477                     10         1        10         2         1         8        10         9
Vardas3478           Pavarde3478                      8        10        10         8         4         3         4         7
Vardas3479           Pavarde3479                      4         6         8         2         5         8         9         1
Vardas3480           Pavarde3480                      5         9         5         3         1         7        10        10
Vardas3481           Pavarde3481                      2         5         7         8         8         9         6         7
Vardas3482           Pavarde3482                      5         9        10         8        10         8         2         7
Vardas3483           Pavarde3483                      4         3         1         1        10         5         9         6
Vardas3484           Pavarde3484                      4         3         5        10         6         2         5         8
Vardas3485           Pavarde3485                      9        10         1         8         1         6         2         2
Vardas3486           Pavarde3486                      3         1         4        10         1         4         3         2
Vardas3487           Pavarde3487                      9         2         2         8         4         6         8         9
Vardas3488           Pavarde3488                      5         4        10         4         6         4         7         5
Vardas3489           Pavarde3489                      3         7         9         7         4         2         9         5
Vardas3490           Pavarde3490                      2         8         3         1        10         9         2         9
Vardas3491           Pavarde3491                      3         9         1         9        10         1         3         9
Vardas3492           Pavarde3492                      6         4         4         9         5         2         7         3
Vardas3493           Pavarde3493                      6         6         4        10         1         7         6        10
Vardas3494           Pavarde3494                      2         2        10         3         6         6         6         3
Vardas3495           Pavarde3495                      7        10        10         5         4         5         5         5
Vardas3496           Pavarde3496                     10         7         5         7         4         1         9         7
Vardas3497           Pavarde3497                      9         1         1         6         5         3         5         5
Vardas3498           Pavarde3498                      1         9        10        10         9         4         6         9
Vardas3499           Pavarde3499                     10         5         8         3         7         9         2         1
Vardas3500           Pavarde3500                      3         5         3         7         7         9         9         1
Vardas3501           Pavarde3501                      7         1         6         7         7        10         8        10
Vardas3502           Pavarde3502                      6         6         5         9         4         8         4         7
Vardas3503           Pavarde3503                      3         3         6         9         7         2        10         3
Vardas3504           Pavarde3504                      1         9         4         9         6         4         8         5
Vardas3505           Pavarde3505                      3        10         4         6         3         8        10         2
Vardas3506           Pavarde3506                      6        10         3         2         8         2         3         7
Vardas3507           Pavarde3507                      2         3        10         5         8         1        10        10
Vardas3508           Pavarde3508                      9         2         5         2         7         5         1         5
Vardas3509           Pavarde3509                     10         4         3         6         4         6         5         2
Vardas3510           Pavarde3510                      6         9         9         5         3         5        10         6
Vardas3511           Pavarde3511                      6         9         8         5         9         4         2         9
Vardas3512           Pavarde3512                      4         4         2         3         5         6         6         3
Vardas3513           Pavarde3513                      1         8        10        10         1         4         6         6
Vardas3514           Pavarde3514                      4         4         7         8         4         2         7         1
Vardas3515           Pavarde3515                      1         8         4         9        10         8         2         1
Vardas3516           Pavarde3516                      8         3         6         2         2         2         4         8
Vardas3517           Pavarde3517                      2         6         4         3         4         5         3         1
Vardas3518           Pavarde3518                      3         9         2         4         4         3         6         8
Vardas3519           Pavarde3519                      8         4         5         7         9         6         7         5
Vardas3520           Pavarde3520                      2         5         3         2         6         3        10         7
Vardas3521           Pavarde3521                      5         9         6         8         1         9        10         3
Vardas3522           Pavarde3522                      5         3         4        10         4         8         9         7
Vardas3523           Pavarde3523                     10         6         7        10         6         2         6         4
Vardas3524           Pavarde3524                      8         4         4         9         6         5         1         4
Vardas3525           Pavarde3525                      2         7         5         5         8        10         4         5
Vardas3526           Pavarde3526                      1         9         9        10         8         4         8         9
Vardas3527           Pavarde3527                      5         1         2         1         8         6         3         5
Vardas3528           Pavarde3528                      5         9         5         6         5         3         2         1
Vardas3529           Pavarde3529                      6         3         2         5         8         6         8         5
Vardas3530           Pavarde3530                      1         4         5         4         1         8         1         1
Vardas3531           Pavarde3531                      8         3         2         9         2         8         6         6
Vardas3532           Pavarde3532                      2         7         2         8         3         3         7         5
Vardas3533           Pavarde3533                      6         4         6         8         6         1         7         4
Vardas3534           Pavarde3534                      4         9         9         7         3         6         6        10
Vardas3535           Pavarde3535                      2         3         4         6        10         5         1         7
Vardas3536           Pavarde3536                      1         3         9         8         4         9        10         4
Vardas3537           Pavarde3537                      3         2         5         2         9         6         9         8
Vardas3538           Pavarde3538                      3         2        10         2         2         6        10         3
Vardas3539           Pavarde3539                      9         9         1         3        10         5         2         1
Vardas3540           Pavarde3540                      4         1         2        10         8         8         2         6
Vardas3541           Pavarde3541                      1         6         5         6         6         3         1         2
Vardas3542           Pavarde3542                      6        10        10         1         5         6         3         7
Vardas3543           Pavarde3543                      9         5         9         5        10         2         1         9
Vardas3544           Pavarde3544                      1         7         5         1         1        10         6         5
Vardas3545           Pavarde3545                      8         1         3         4         9         8         5         2
Vardas3546           Pavarde3546                      7         8         4         7         4         5         3        10
Vardas3547           Pavarde3547                      5         8         6         6         8        10         7         7
Vardas3548           Pavarde3548                      6         9         8         5         3         1         5         1
Vardas3549           Pavarde3549                      6         2        10         8        10         3         3         1
Vardas3550           Pavarde3550                     10         7         5         2         6         6         3         9
Vardas3551           Pavarde3551                      2         6         2         5         4         3         5         8
Vardas3552           Pavarde3552                      9         6         5         3         4         3         7         6
Vardas3553           Pavarde3553                      2         6         3         1         5         1         7         3
Vardas3554           Pavarde3554                      5         2         7        10         9         4        10         4
Vardas3555           Pavarde3555                      6         1         6         8         7         9         5        10
Vardas3556           Pavarde3556                      6        10        10        10         8        10         6         8
Vardas3557           Pavarde3557                      1         3         5         4         8         1        10         1
Vardas3558           Pavarde3558                      1         6         6        10        10         3         8         5
Vardas3559           Pavarde3559                      8         8         5        10         9         8         8         3
Vardas3560           Pavarde3560                      7         4         5         3         3         7        10         3
Vardas3561           Pavarde3561                      9         9         3         9         5         3         1         8
Vardas3562           Pavarde3562                      7         7         9         5         6        10         9         4
Vardas3563           Pavarde3563                      9         3         1         3         1         7         4         5
Vardas3564           Pavarde3564                     10         5         7         4         9         8         6         7
Vardas3565           Pavarde3565                      3         2         8         5         3         8        10         8
Vardas3566           Pavarde3566                     10         6         8         7         9         6         5        10
Vardas3567           Pavarde3567                      6         6        10         1         3         2         9         2
Vardas3568           Pavarde3568                      9         5        10         7         7         9         2         3
Vardas3569           Pavarde3569                      5         8         7         8         1         4         2         5
Vardas3570           Pavarde3570                      9        10         8         5         9         4        10         7
Vardas3571           Pavarde3571                      6         5         8         8         1         6         2         7
Vardas3572           Pavarde3572                      3         7         7        10         1         2         9        10
Vardas3573           Pavarde3573                     10         7         9         7         5         4        10        10
Vardas3574           Pavarde3574                     10         5         2         9         4         3         9         9
Vardas3575           Pavarde3575                      3         3         3         7         4         9        10         7
Vardas3576           Pavarde3576                      7         5         9         5         5         7         5         3
Vardas3577           Pavarde3577                      4         9         9         9         8        10         2         7
Vardas3578           Pavarde3578                      7         4        10         1         6         1        10         4
Vardas3579           Pavarde3579                      6        10         9         9         8         9         4         4
Vardas3580           Pavarde3580                      2         7         9         3         1         5         4         2
Vardas3581           Pavarde3581                      9         8         5         3         5         4         6         8
Vardas3582           Pavarde3582                      4        10         6         3         2         1         2         5
Vardas3583           Pavarde3583                      9         9         5         7         5         8         2        10
Vardas3584           Pavarde3584                      7         8         6         7         7         9        10         4
Vardas3585           Pavarde3585                      6         9         5         1         1         9        10         7
Vardas3586           Pavarde3586                      7         1         9         6        10         8         7         3
Vardas3587           Pavarde3587                     10         5         4         9         6         1         9         3
Vardas3588           Pavarde3588                      1         2        10         4         7         2         8         9
Vardas3589           Pavarde3589                      7         3         1         6        10         8         1         7
Vardas3590           Pavarde3590                      1         8         2         9         2         6         7         3
Vardas3591           Pavarde3591                      5        10         5         3         1        10         8         1
Vardas3592           Pavarde3592                     10         8         4         8         3         6         5         2
Vardas3593           Pavarde3593                      5         8        10         4         3         7         9         8
Vardas3594           Pavarde3594                      5         7         9         3         1         6        10         1
Vardas3595           Pavarde3595                      6         1         9         4         6         3         8         2
Vardas3596           Pavarde3596                     10         7         5         9         4         1        10        10
Vardas3597           Pavarde3597                      5         7         2         3         9         1         3         6
Vardas3598           Pavarde3598                      3         6         4         5         4         2         8         1
Vardas3599           Pavarde3599                      2         5        10         7         1         9         3         8
Vardas3600           Pavarde3600                      8         2         6        10         1         1         4         8
Vardas3601           Pavarde3601                      7         3         1         2         6         2         8         6
Vardas3602           Pavarde3602                      1         7         5        10         4         1         1         3
Vardas3603           Pavarde3603                      6         6         7         3         4         1         3         1
Vardas3604           Pavarde3604                     10         6         9         6         1         9         7         3
Vardas3605           Pavarde3605                      2         8         5         7         9         2         8         8
Vardas3606           Pavarde3606                      2         3         4         3         6         9         9         4
Vardas3607           Pavarde3607                      2         4         9         8         4         8         4         1
Vardas3608           Pavarde3608                      2         7         3         9         9         6         8         7
Vardas3609           Pavarde3609                      9         2        10         6         4         7         1         6
Vardas3610           Pavarde3610                      8         3         7         5         4         9         3         6
Vardas3611           Pavarde3611                      3         7         7         5         2         4         4         8
Vardas3612           Pavarde3612                      8         2         7         1         3         9         9         3
Vardas3613           Pavarde3613                      5         4         3         6         5         3         1        10
Vardas3614           Pavarde3614                      8         1         9         3         1         4         9         9
Vardas3615           Pavarde3615                      6         4         5         5         1         5        10         1
Vardas3616           Pavarde3616                      6         2         8         8         2        10         1         4
Vardas3617           Pavarde3617                      5         3         9         3         1         7         4         4
Vardas3618           Pavarde3618                     10         4         7         7         1         1         7         4
Vardas3619           Pavarde3619                      9         3         9         7         5         1         8         4
Vardas3620           Pavarde3620                     10         2         9         5         2         4         5        10
Vardas3621           Pavarde3621                      8         4         7         5         5         9         9         9
Vardas3622           Pavarde3622                      3        10         5         2         1         5         7         2
Vardas3623           Pavarde3623                      4         1         6         3         1        10         7        10
Vardas3624           Pavarde3624                      5         8         4         3         9         8         9         9
Vardas3625           Pavarde3625                      2         6         4         2         1         6         8         2
Vardas3626           Pavarde3626                     10         3         1         6         8         8         5         8
Vardas3627           Pavarde3627                      1         1        10         8        10         5        10         8
Vardas3628           Pavarde3628                      3         1         8         5         9         2         4        10
Vardas3629           Pavarde3629                      2         9        10         8         2         6         8         2
Vardas3630           Pavarde3630                     10         6         1         9         4         2         5         1
Vardas3631           Pavarde3631                      2        10         8         3         5         8         3         6
Vardas3632           Pavarde3632                     10         9         2         8         1         9         6         7
Vardas3633           Pavarde3633                      3         7         1         7         9         4         7         3
Vardas3634           Pavarde3634                      5         5        10         1         1         2         1         9
Vardas3635           Pavarde3635                      7         9         9         7         4         4         9         3
Vardas3636           Pavarde3636                      7         4         4         9         1         1        10         3
Vardas3637           Pavarde3637                      1         9         9         6         2         7         6         5
Vardas3638           Pavarde3638                      2         1         4         5         6        10         5         7
Vardas3639           Pavarde3639                      3         9         1        10         1         8         4         5
Vardas3640           Pavarde3640                      8         6         9         2         7         6         5         7
Vardas3641           Pavarde3641                      8         1         9         3         8         3         2         3
Vardas3642           Pavarde3642                      2         6         4         8         9         6         6         2
Vardas3643           Pavarde3643                      8         7         7         8         7         3         8         4
Vardas3644           Pavarde3644                      4        10         6         3         4         5         4         6
Vardas3645           Pavarde3645                      1         6         1         2        10         2         4         7
Vardas3646           Pavarde3646                      3         7         1         3         8        10         1         7
Vardas3647           Pavarde3647                      9         9         1         1         6         8         1         6
Vardas3648           Pavarde3648                      9         7         7         4         1         7         7         7
Vardas3649           Pavarde3649                      6         3         7         2         2         8        10         8
Vardas3650           Pavarde3650                      1        10         5         3         3         9         1         5
Vardas3651           Pavarde3651                      1         5         9         2         5         1         8         9
Vardas3652           Pavarde3652                      1         1         5         3         7         5         7         7
Vardas3653           Pavarde3653                      6         5         9         3         2         5         8         5
Vardas3654           Pavarde3654                      8         7         7         3         2         5         3         8
Vardas3655           Pavarde3655                      7         4         2         2         9         3         9         6
Vardas3656           Pavarde3656                      8         8         8         3         3         8         3         5
Vardas3657           Pavarde3657                      4        10         4         4         2         5         5         8
Vardas3658           Pavarde3658                      6         9         1        10         3         7         8         6
Vardas3659           Pavarde3659                      5         5         5         4         1         1         8         1
Vardas3660           Pavarde3660                      4        10         2         2         1         1         9         9
Vardas3661           Pavarde3661                      3         6         1         3        10        10         9         9
Vardas3662           Pavarde3662                     10         2         7         2         2         3         8        10
Vardas3663           Pavarde3663                      9         2         9         8        10         1         4         7
Vardas3664           Pavarde3664                      1         1         6         1         8         9         2         8
Vardas3665           Pavarde3665                      2         2         5        10         4         1         5         7
Vardas3666           Pavarde3666                      5        10         1         6         8         3         5         4
Vardas3667           Pavarde3667                      7         2         5        10         6        10         7         7
Vardas3668           Pavarde3668                     10         4         2        10         5         4         4         4
Vardas3669           Pavarde3669                      7         8        10         2         8         1         2         2
Vardas3670           Pavarde3670                      7         6         5         9         4         4         8        10
Vardas3671           Pavarde3671                      9         6         7        10        10         6         7         5
Vardas3672           Pavarde3672                      4         2         8         1         3        10         8         6
Vardas3673           Pavarde3673                      2        10         9         3         1         8         1         7
Vardas3674           Pavarde3674                      4         1         6         9         7         4         8         1
Vardas3675           Pavarde3675                      9         1         7         9         9         8         5         1
Vardas3676           Pavarde3676                      4         7         5         7         3         5         9         3
Vardas3677           Pavarde3677                      5         5         5        10         8         9         4         9
Vardas3678           Pavarde3678                      9         6         2         9         6         8         5         3
Vardas3679           Pavarde3679                      1         8        10         1         5         8        10         8
Vardas3680           Pavarde3680                      4         6         8         4         9         2         5         5
Vardas3681           Pavarde3681                      7         7         4         1         5         8         2         7
Vardas3682           Pavarde3682                      1         3         7         8         6        10        10         8
Vardas3683           Pavarde3683                      1         1         4         8         5         2         4         3
Vardas3684           Pavarde3684                      1         2         1        10         4         4         6         8
Vardas3685           Pavarde3685                      8         5         8         1         1         1         5         9
Vardas3686           Pavarde3686                     10         6         3         1         9         9         7         9
Vardas3687           Pavarde3687                      2         7         8         6         1         5         6         2
Vardas3688           Pavarde3688                      4         1         8         6         5         7        10         9
Vardas3689           Pavarde3689                      6         1         4         3         7        10         9         5
Vardas3690           Pavarde3690                      8         8         5        10         4         9         8         7
Vardas3691           Pavarde3691                      5         3         2         5         1         2         7         7
Vardas3692           Pavarde3692                     10         4        10         2         8        10         1         9
Vardas3693           Pavarde3693                      8        10         8         1         4         5         1         6
Vardas3694           Pavarde3694                     10         6         9         5         8         2         4         4
Vardas3695           Pavarde3695                      1         2         3         7         5        10         4         2
Vardas3696           Pavarde3696                      2         8         4         4         6         4        10         5
Vardas3697           Pavarde3697                      9         5        10         1        10         6         4         1
Vardas3698           Pavarde3698                     10        10         1         8         1         8         4         1
Vardas3699           Pavarde3699                      6         3         9         5         8         9        10         9
Vardas3700           Pavarde3700                      1         1         1         1         9         3         3         8
Vardas3701           Pavarde3701                      9        10         7         6         5         6         4         9
Vardas3702           Pavarde3702                      6         5         2         5         6         8         3        10
Vardas3703           Pavarde3703                      3        10         6         7         2         1         4         7
Vardas3704           Pavarde3704                      5         1         2         1        10         8         3        10
Vardas3705           Pavarde3705                      4        10         6         8         6         4         8         3
Vardas3706           Pavarde3706                      2         3        10         3         1         1         1         7
Vardas3707           Pavarde3707                      9         5         2         9         1        10         8         9
Vardas3708           Pavarde3708                      9         7         8         8         6         7         6         7
Vardas3709           Pavarde3709                      7        10         6         7         5         6         7        10
Vardas3710           Pavarde3710                     10         6         2         9         4         1         4         4
Vardas3711           Pavarde3711                      2         7         1         6         4         1         8         7
Vardas3712           Pavarde3712                      4         3         9        10         5         9         3         3
Vardas3713           Pavarde3713                      2         2         8         4         4        10        10         5
Vardas3714           Pavarde3714                      4         5        10         3         6         7         2         3
Vardas3715           Pavarde3715                      9         8         3         9         7         1         4        10
Vardas3716           Pavarde3716                      5         7        10         1         8         8         9         9
Vardas3717           Pavarde3717                      3         7         8        10        10         5         5         9
Vardas3718           Pavarde3718                     10         1         8         2         6         5         9         5
Vardas3719           Pavarde3719                      5         6         2         4         8         9         4         1
Vardas3720           Pavarde3720                      5         3         7         6         1         2         1         5
Vardas3721           Pavarde3721                      3        10        10         8         8         8         6         2
Vardas3722           Pavarde3722                      4         2         5        10         5         9         4         8
Vardas3723           Pavarde3723                      3         8         4         5         1         7         3         6
Vardas3724           Pavarde3724                      5         4         5        10         3         1         1         9
Vardas3725           Pavarde3725                      2         6         1         6         7         7        10         3
Vardas3726           Pavarde3726                      6         2        10        10         3         5         4         6
Vardas3727           Pavarde3727                     10         5         8         6         5         6         7         6
Vardas3728           Pavarde3728                      9         9         2        10         2         5         4         3
Vardas3729           Pavarde3729                      7         7         3         8         5         6         2         4
Vardas3730           Pavarde3730                      5         8        10         2         2         3        10         9
Vardas3731           Pavarde3731                      8         2        10         5         5         3         8         7
Vardas3732           Pavarde3732                      9         6        10         1         8         8         4         8
Vardas3733           Pavarde3733                      8         5         4        10         2         4        10        10
Vardas3734           Pavarde3734                      1        10         1         2         7         5         9         8
Vardas3735           Pavarde3735                      6         3         9         5         8         6         4         2
Vardas3736           Pavarde3736                      6         4        10         7         6         2         9         1
Vardas3737           Pavarde3737                      1         8         9        10         8         7         7         3
Vardas3738           Pavarde3738                     10         6         1         3         3         1         6         8
Vardas3739           Pavarde3739                      8         6         3         1         6         2         3         8
Vardas3740           Pavarde3740                      2        10        10         2         2         6         9         2
Vardas3741           Pavarde3741                      2         6         9         8         3         2         5         7
Vardas3742           Pavarde3742                     10         4         8         9         7         5         5         6
Vardas3743           Pavarde3743                      9         7         6         2         9         4        10         3
Vardas3744           Pavarde3744                      4         1         9        10         2         1         5         4
Vardas3745           Pavarde3745                      8         9         7         9        10         3         3         8
Vardas3746           Pavarde3746                      5         4         6         2         7         6         7         9
Vardas3747           Pavarde3747                      3         4         9        10         1         2         5         7
Vardas3748           Pavarde3748                      9         6         1         9         2         9         8         9
Vardas3749           Pavarde3749                      8         4         2         7         5         9         6         5
Vardas3750           Pavarde3750                      3        10         8         8         4         6         6         6
Vardas3751           Pavarde3751                      7        10         4        10         4         6         2         1
Vardas3752           Pavarde3752                      3         9         7         3         1         2         1         5
Vardas3753           Pavarde3753                      5         4         4         2        10         2         3         2
Vardas3754           Pavarde3754                      4         6         3         6         1         6         9         9
Vardas3755           Pavarde3755                      2        10         3         1         5         6         3         8
Vardas3756           Pavarde3756                      9         1         5         4         5         4         9         3
Vardas3757           Pavarde3757                     10         4         6        10         4         9         6         7
Vardas3758           Pavarde3758                      2         3         5         1         4         3         4         5
Vardas3759           Pavarde3759                      3         9        10        10         1         7         7         2
Vardas3760           Pavarde3760                      2         2         9         4         7         1        10         7
Vardas3761           Pavarde3761                      6         7        10         4         5         2         9         2
Vardas3762           Pavarde3762                      9         1         1         3        10         4         1         4
Vardas3763           Pavarde3763                      5         9         4         8         2         4         9         5
Vardas3764           Pavarde3764                      6         5         9         5         8        10         2         7
Vardas3765           Pavarde3765                      3         2         8         7         4         3        10         2
Vardas3766           Pavarde3766                      8         9         8         1         8         3         5         9
Vardas3767           Pavarde3767                      4         3         4         2         4         5        10         6
Vardas3768           Pavarde3768                      2         9         5         6         1        10         9         7
Vardas3769           Pavarde3769                      1         9         8         9         1         2        10         1
Vardas3770           Pavarde3770                      9         6         7         3         5         9         8         4
Vardas3771           Pavarde3771                      5         3         5         3         6         4         3         3
Vardas3772           Pavarde3772                      8         9         3         1         9         5         3         7
Vardas3773           Pavarde3773                     10         1         5         3         9        10        10         6
Vardas3774           Pavarde3774                      5         9         2         1         7         6         2         6
Vardas3775           Pavarde3775                      9         9         4         1         6         1         2         9
Vardas3776           Pavarde3776                      6         2         3         8         9         1         6         2
Vardas3777           Pavarde3777                      7         4        10         6         8         1         6         3
Vardas3778           Pavarde3778                      5         3         7        10         6         8        10         5
Vardas3779           Pavarde3779                      9         2         7         9         2        10         7         1
Vardas3780           Pavarde3780                      2         1         5         5         8         8         5         8
Vardas3781           Pavarde3781                      2         7         5        10         8         2         6         6
Vardas3782           Pavarde3782                      1         6         4         7         5         4        10         8
Vardas3783           Pavarde3783                      4         8         9         9         8         1         6         3
Vardas3784           Pavarde3784                      6         5         7        10        10         3         3        10
Vardas3785           Pavarde3785                      7         5         2        10         4         9         9        10
Vardas3786           Pavarde3786                      6         9        10         4         9         2         6         6
Vardas3787           Pavarde3787                      2         5         1         5         7         3         6         4
Vardas3788           Pavarde3788                      7         2         5         6         5         1         4         9
Vardas3789           Pavarde3789                      8         4         2        10         8         2         9         9
Vardas3790           Pavarde3790                      5         8         2         1         9         3        10         7
Vardas3791           Pavarde3791                      9         4         5         9         4         9         5         2
Vardas3792           Pavarde3792                      9         4         9         6         7         7         4        10
Vardas3793           Pavarde3793                      1        10         9         2         9         1         8         2
Vardas3794           Pavarde3794                      6         6         2         4        10        10        10         2
Vardas3795           Pavarde3795                      1         7         5         5         5         5         3         3
Vardas3796           Pavarde3796                      7         8         6         3         8         2         2         1
Vardas3797           Pavarde3797                      7         4        10         1         8         7        10         8
Vardas3798           Pavarde3798                      3         1         5         8         8         5         4         1
Vardas3799           Pavarde3799                      7         2         5        10         7         4         6         5
Vardas3800           Pavarde3800                      6         8         6        10         2        10         6         2
Vardas3801           Pavarde3801                      2         1         3         2         5         3         2         5
Vardas3802           Pavarde3802                      1         5         3         8         4         6         8         9
Vardas3803           Pavarde3803                      2         2         7         3         4         6         2         3
Vardas3804           Pavarde3804                      6         6         2         9         5        10         8         8
Vardas3805           Pavarde3805                      5         8        10         8         8         3         7         4
Vardas3806           Pavarde3806                     10         3         2         4         5         3         5         5
Vardas3807           Pavarde3807                      5         1         7         8         3         3         3         5
Vardas3808           Pavarde3808                     10         7         5         1         9         6         6         1
Vardas3809           Pavarde3809                      3        10         9         9        10         7         2         9
Vardas3810           Pavarde3810                      7         2        10         5         1         3         2        10
Vardas3811           Pavarde3811                      3         9         4         2         8         2         5         1
Vardas3812           Pavarde3812                      1        10         6         2         8         7         1         4
Vardas3813           Pavarde3813                      1        10         1         4         3         5        10         4
Vardas3814           Pavarde3814                      7        10        10        10         5         5         1         2
Vardas3815           Pavarde3815                      1         9         5         2         4         6         2        10
Vardas3816           Pavarde3816                      8         1         2         9        10         5         6        10
Vardas3817           Pavarde3817                      7         1        10         1         4         6         1         8
Vardas3818           Pavarde3818                      6         5         2         4         1         4         6         6
